job title,company name,date,location,skills
Digital Marketing Executive,FGC -,18 days ago,"New Nozha, Cairo, Egypt ",Full TimeExperienced · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · E-Marketing · Marketing · Social Media
Digital Marketing Manager,The International School of Elite Education -,19 days ago,"New Cairo, Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · Operations/Management · Marketing/PR/Advertising · campaigns · facebook · Google Analytics · Leadership · Market Research · Marketing · SEO · Social Media
Digital Marketing Executive,IT Pillars -,19 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · E-marketing · Marketing · SEO · WordPress · Social Media · Media · Market Research · Communication Skills
Digital Marketing Team Leader,Infinity Clinic Pharma -,17 days ago,"Nasr City, Cairo, Egypt ",Full TimeManager · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · digital media · Marketing · Communication · Ads · Social Media · English
Digital Marketing Manager,Confidential -,20 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · SEO · Social Media · Digital Marketing · E-marketing · SEM · B2C · Online Marketing
Digital Marketing,Razaz Group -,5 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Digital Marketing · Social Media · Media Buyer · Communication · Advertising
Digital Marketing Executive,Dkan Online -,6 days ago,"Al Midnab, Saudi Arabia ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · SEM · Google Adwords · Social Media · Analysis · E-Marketing · Marketing · Online Marketing
Senior Marketing & Digital Marketing Specialist,Tayseer Chemicals  -,18 days ago,"Riyadh, Saudi Arabia ",Full TimeExperienced · 3 - 7 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Digital · Digital Marketing · Social Media · senior · Marketing · Marketing agency
Digital Marketing Expert,SERV-QUAL -,19 days ago,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · E-Marketing · Google Analytics · Marketing · Social Media · Content · English · Editing · Communication
Digital Marketing Specialist- Real estate,Nozha Group -,23 days ago,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Digital Marketing Specialist · Digital · E-Marketing · Marketing · Social Media
